guardian_id,kindergarten_id,user_id,name,rrn_encrypted,rrn_first6,gender,address,status,created_at,updated_at
1,1,121,홍서현,$2a$04$sAeUM58RtkLXYzTT01F1EeOZSfrBTfSKj333BmBBwVuC.xx3O1x12,11112,MALE,대구광역시 수성구 31길 34,DISABLED,2025-12-08 14:26:10.000000 +00:00,2025-12-08 14:26:10.000000 +00:00
2,1,122,허서준,$2a$04$U.Vz8XboKCywTxxWK2pK6u.GKXMedELDPUSf8bgmIdrOV9.xo1tYW,890518,FEMALE,대구광역시 수성구 31길 34,DISABLED,2025-12-21 20:13:32.000000 +00:00,2025-12-21 20:13:32.000000 +00:00
3,1,123,백도현,$2a$04$kwUNX72xl4HRV6AGt6bIAenT1Uoyw8fepvjQchpOyu0L2bXRJPDay,980615,MALE,서울특별시 강남구 72길 10,DISABLED,2025-01-06 09:55:31.000000 +00:00,2025-09-21 02:54:42.000000 +00:00
4,1,124,류민준,$2a$04$4VPfUazLqKpBeFINm41ZYOVaMPfPGDBT56D.IFw/FdphT2rejjBSq,980202,FEMALE,서울특별시 강남구 72길 10,DISABLED,2025-04-08 09:29:12.000000 +00:00,2025-04-08 09:29:12.000000 +00:00
5,1,125,권주원,$2a$04$JHk6MuC5p0912.pn8wKRm.MSnWHbKD8ClK2x/4w7PyKFcUhvrsR7e,980825,MALE,인천광역시 연수구 10길 4,DISABLED,2026-02-26 02:29:54.000000 +00:00,2026-02-26 02:29:54.000000 +00:00
6,1,126,송지아,$2a$04$IBYpI3ck.NgF7aHnE4agzu5vSfyqramrWitrz2kiN0Jnh0B/8bpzS,911008,FEMALE,인천광역시 연수구 10길 4,DISABLED,2025-01-21 20:07:21.000000 +00:00,2026-03-15 18:44:02.000000 +00:00
7,1,127,전하준,$2a$04$jOeQj2GrcTeFVHrpSlbo8uLsyiuv0bwyGNgd5yprhszuS6lPSrL0C,850818,MALE,부산광역시 해운대구 86길 48,DISABLED,2025-11-30 21:49:49.000000 +00:00,2025-11-30 21:49:49.000000 +00:00
8,1,128,정서준,$2a$04$ZwXZSMVsCLAwPvcs4mTfQeItGL41wQDcUkx2GeDmUpuCkwSXt2Gu2,910730,FEMALE,부산광역시 해운대구 86길 48,DISABLED,2025-04-11 05:28:02.000000 +00:00,2026-02-11 06:16:54.000000 +00:00
9,1,129,장다윤,$2a$04$rCt9yR/HCVNvjqnlrBUNLOvZWyUhP8kF0mAkPNazVS0A4ClvOPVCS,910329,MALE,서울특별시 강남구 41길 74,DISABLED,2025-05-19 05:45:32.000000 +00:00,2025-05-19 05:45:32.000000 +00:00
10,1,130,홍도현,$2a$04$xDol5xg0oDsejguaLsdPZOKvhI78R0ji3nsoP5grzE0kJIKe68JVC,20629,FEMALE,서울특별시 강남구 41길 74,DISABLED,2025-08-22 22:55:09.000000 +00:00,2025-08-22 22:55:09.000000 +00:00
